Titel,PromptURL,Beschreibung,Kategory,Level,Prompt Tags,Updated
Write Linkedin Message,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/write_linkedin_message.md,"Hilf mir, eine LinkedIn-Nachricht an den Präsidenten einer Unternehmensstiftung zu schreiben.",AI 4 THOUGHT LEADERSHIP,Profi,LinkedIn,2025-12-24
Write Linkedin Post,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/write_linkedin_post.md,"Erstellen Sie einen detaillierten Leitfaden zum Aufbau von Thought Leadership auf LinkedIn durch virale Beiträge. Stellen Sie sicher, dass die Ratschläge umsetzbar und darauf zu...",AI 4 THOUGHT LEADERSHIP,Profi,"Analyse, Content, LinkedIn, Strategie",2025-12-24
Write Post Pas Framework,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/write_post_PAS_framework.md,"Erstelle einen überzeugenden Social-Media-Post zum Thema [TOPIC] unter Verwendung der Problem-Agitate-Solve (PAS) Copywriting-Formel. Dein Ziel ist es, einen viralen Post zu ver...",AI 4 WORK,Profi,Content,2025-12-24
Write Top Mistakes Post,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/write_top_mistakes_post.md,"Erstelle einen überzeugenden und informativen Social-Media-Beitrag über die häufigsten Fehler, die Menschen machen, wenn sie versuchen, [GOAL] für [AUDIENCE] zu erreichen. Befol...",AI 4 THOUGHT LEADERSHIP,Experte,Research,2025-12-24
Write Video Script,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/write_video_script.md,"Erstelle ein Video-Skript für kurze Clips, die auf Social Media gepostet werden sollen, mit Fokus auf verschiedene Themen im Immobiliengeschäft. Dein Skript sollte ansprechend, ...",AI 4 WEALTH,Profi,"Script, Wealth, Retail, Content, Strategie",2025-12-24
Write Video Script Tiktok,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/write_video_script_tiktok.md,,AI 4 WORK,Profi,"Script, Content",2025-12-24
Write Video Script Tiktok Marcus Garvey,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail/write_video_script_tiktok_marcus_garvey.md,"Erstelle ein detailliertes TikTok-Skript basierend auf meinem Manuskript für ein Buch über Marcus Garvey. Dein Ziel ist es, ein lehrreiches und ansprechendes Skript zu erstellen...",AI 4 RETAIL,Profi,"Script, Retail, Content",2025-12-24
Write Video Script Tiktok Motivation,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/write_video_script_tiktok_motivation.md,"Erstelle ein Skript für ein TikTok-Video, das Gesundheits- und Wellnessprodukte organisch auf TikTok Shop bewirbt. Dein Skript sollte:",AI 4 THOUGHT LEADERSHIP,Profi,"Script, Content",2025-12-24
Writing With Ai,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/writing_with_ai.md,"Ich entwickle eine App, die ChatGPT und andere KI-Tools verwendet, um Autoren dabei zu helfen, KI-Inhalte zu generieren, die nicht von KI-Erkennungssoftware markiert werden. Das...",AI 4 WORK,Profi,"Content, Strategie",2025-12-24
Year End Self Review,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/year_end_self_review.md,"Erstellen Sie eine Jahresabschluss-Selbstbewertung als versierte Executive Assistant, die den COO, CFO und CCO unterstützt. Fügen Sie die folgenden Komponenten in Ihre Selbstbew...",AI 4 WORK,Profi,"Prozesse, Training, Adoption",2025-12-24
Ziel-Plan in Szenarien,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/03_ziel_plan_in_szenarien.md,"Erstellt 3 Szenarien (konservativ/moderat/offensiv) für ein Ziel. Bildung, keine Anlageberatung.",AI 4 WEALTH,Profi,"Finance, Wealth, Reporting",2025-12-24
